timestamp,ecg_measurement,qrs_detected
6.755281314610679377e-01
5.523906181777937796e-01
5.915216169278976199e-01
5.972827520528989353e-01
5.443182613949060222e-01
5.197686882102470207e-01
5.931464480570431963e-01
5.956866229729806950e-01
5.676388213859557830e-01
5.137781439580784149e-01
5.702585340371864042e-01
6.022855080617519619e-01
5.981552156251910279e-01
5.954619881068374809e-01
4.251084512091453105e-01
