timestamp ecg beat_detected
527975476.0 1.9061583518 0
527979432.0 1.901270771 0
527983384.0 1.8719452857 0
527987352.0 1.8572825431 0
527991320.0 1.8475073814 0
527995280.0 1.8475073814 0
527999236.0 1.8328446388 0
528003208.0 1.808406639 0
528007140.0 1.7986314296 0
528011100.0 1.8035190582 0
528015052.0 1.8132943153 0
528019024.0 1.808406639 0
528022964.0 1.7937438488 0
528026932.0 1.7741935253 0
528030900.0 1.7790811061 0
528034860.0 1.7986314296 0
528038824.0 1.8377322196 0
528042784.0 1.901270771 0
528046724.0 2.0234603881 0
528050676.0 2.2140762805 0
528054624.0 2.4682307243 0
528058584.0 2.7419354915 0
528062544.0 2.9716520309 0
528066492.0 3.0791788101 0
528070456.0 2.9765396118 0
528074420.0 2.7370479106 0
528078372.0 2.3900294303 0
528082316.0 2.0381231307 0
528086268.0 1.7350928783 0
528090220.0 1.5102639198 0
528094176.0 1.4173997879 0
528098140.0 1.3831867027 0
528102100.0 1.4320625305 0
528106064.0 1.4760508537 0
528110012.0 1.5493645668 0
528113972.0 1.6324535369 0
528117940.0 1.6911046504 0
528121900.0 1.7155425548 0
528125864.0 1.7302052974 0
528129812.0 1.7595307826 0
528133764.0 1.783968687 0
528137716.0 1.8181818962 0
528141684.0 1.8132943153 0
528145652.0 1.8279570579 0
528149596.0 1.8328446388 0
528153560.0 1.8572825431 0
528157528.0 1.8719452857 0
528161484.0 1.8817204475 0
528165448.0 1.862170124 0
528169400.0 1.8719452857 0
528173356.0 1.8963831901 0
528177320.0 1.9061583518 0
528181284.0 1.9110459327 0
528185236.0 1.8963831901 0
528189200.0 1.9061583518 0
528193160.0 1.9208210945 0
528197112.0 1.9452590942 0
528201072.0 1.9257086753 0
528205032.0 1.9305962562 0
528208984.0 1.9257086753 0
528212936.0 1.9403715133 0
528216904.0 1.9501466751 0
528220864.0 1.9452590942 0
528224824.0 1.9354838371 0
528228784.0 1.9354838371 0
528232744.0 1.9550342559 0
528236696.0 1.9696969985 0
528240652.0 1.9648094177 0
528244600.0 1.9550342559 0
528248560.0 1.9550342559 0
528252520.0 1.9745845794 0
528256480.0 1.9843597412 0
528260448.0 1.9843597412 0
528264416.0 1.9794721603 0
528268368.0 1.989247322 0
528272316.0 2.0087976455 0
528276260.0 2.0332355499 0
528280220.0 2.028347969 0
528284172.0 2.0234603881 0
528288124.0 2.0381231307 0
528292084.0 2.0527858734 0
528296036.0 2.0723361968 0
528299988.0 2.0723361968 0
528303948.0 2.0723361968 0
528307908.0 2.067448616 0
528311860.0 2.0869989395 0
528315812.0 2.106549263 0
528319764.0 2.106549263 0
528323716.0 2.0967741012 0
528327660.0 2.0918865203 0
528331604.0 2.0967741012 0
528335556.0 2.1163244247 0
528339524.0 2.0869989395 0
528343476.0 2.067448616 0
528347428.0 2.0332355499 0
528351388.0 2.0136852264 0
528355348.0 1.9990224838 0
528359304.0 1.9648094177 0
528363264.0 1.9159335136 0
528367228.0 1.8768328666 0
528371196.0 1.8523949623 0
528375164.0 1.8328446388 0
528379124.0 1.8035190582 0
528383076.0 1.7595307826 0
528387028.0 1.7350928783 0
528390988.0 1.7204301357 0
528394944.0 1.7302052974 0
528398896.0 1.7106549739 0
528402856.0 1.6862169265 0
528406812.0 1.6764417648 0
528410772.0 1.6813293457 0
528414732.0 1.7008798122 0
528418676.0 1.7008798122 0
528422620.0 1.6911046504 0
528426576.0 1.6862169265 0
528430536.0 1.7008798122 0
528434484.0 1.7204301357 0
528438448.0 1.7253177165 0
528442412.0 1.7253177165 0
528446376.0 1.7106549739 0
528450332.0 1.7204301357 0
528454292.0 1.7350928783 0
528458252.0 1.7546432018 0
528462212.0 1.7350928783 0
528466176.0 1.7399804592 0
528470128.0 1.7399804592 0
528474076.0 1.7595307826 0
528478036.0 1.7644183635 0
528482004.0 1.7546432018 0
528485968.0 1.7497556209 0
528489924.0 1.7644183635 0
528493884.0 1.7888562679 0
528497844.0 1.7888562679 0
528501804.0 1.783968687 0
528505748.0 1.7741935253 0
528509708.0 1.7937438488 0
528513676.0 1.808406639 0
528517612.0 1.8181818962 0
528521580.0 1.8132943153 0
528525548.0 1.8035190582 0
528529492.0 1.8181818962 0
528533452.0 1.8328446388 0
528537424.0 1.8426198005 0
528541380.0 1.8328446388 0
528545340.0 1.8181818962 0
528549308.0 1.823069477 0
528553264.0 1.8377322196 0
528557232.0 1.8475073814 0
528561188.0 1.8475073814 0
528565140.0 1.8328446388 0
528569112.0 1.8475073814 0
528573072.0 1.8572825431 0
528577040.0 1.8670577049 0
528580992.0 1.8572825431 0
528584960.0 1.862170124 0
528588908.0 1.8523949623 0
528592872.0 1.8670577049 0
528596820.0 1.8768328666 0
528600776.0 1.862170124 0
528604728.0 1.8475073814 0
528608684.0 1.8426198005 0
528612632.0 1.8572825431 0
528616600.0 1.8719452857 0
528620564.0 1.8670577049 0
528624512.0 1.8572825431 0
528628480.0 1.8572825431 0
528632448.0 1.8719452857 0
528636408.0 1.8719452857 0
528640368.0 1.862170124 0
528644328.0 1.8426198005 0
528648272.0 1.8426198005 0
528652220.0 1.8523949623 0
528656184.0 1.8670577049 0
528660132.0 1.8523949623 0
528664104.0 1.8426198005 0
528668052.0 1.8328446388 0
528672024.0 1.8572825431 0
528675992.0 1.8572825431 0
528679956.0 1.862170124 0
