timestamp ecg beat_detected ibi
629784812.0 1.7644183635 0 -99370215188.0
629788776.0 1.808406639 0 -99370211224.0
629792716.0 1.8132943153 0 -99370207284.0
629796684.0 1.783968687 0 -99370203316.0
629800644.0 1.7595307826 0 -99370199356.0
629804604.0 1.7693059444 0 -99370195396.0
629808568.0 1.808406639 0 -99370191432.0
629812520.0 1.8279570579 0 -99370187480.0
629816480.0 1.808406639 0 -99370183520.0
629820428.0 1.7790811061 0 -99370179572.0
629824380.0 1.783968687 0 -99370175620.0
629828332.0 1.8181818962 0 -99370171668.0
629832296.0 1.8377322196 0 -99370167704.0
629836252.0 1.8181818962 0 -99370163748.0
629840212.0 1.7790811061 0 -99370159788.0
629844172.0 1.7741935253 0 -99370155828.0
629848128.0 1.808406639 0 -99370151872.0
629852072.0 1.8279570579 0 -99370147928.0
629856032.0 1.808406639 0 -99370143968.0
629859980.0 1.7741935253 0 -99370140020.0
629863948.0 1.7790811061 0 -99370136052.0
629867908.0 1.8132943153 0 -99370132092.0
629871880.0 1.8426198005 0 -99370128120.0
629875840.0 1.8279570579 0 -99370124160.0
629879788.0 1.7986314296 0 -99370120212.0
629883760.0 1.808406639 0 -99370116240.0
629887704.0 1.862170124 0 -99370112296.0
629891664.0 1.901270771 0 -99370108336.0
629895616.0 1.8866080284 0 -99370104384.0
629899564.0 1.8523949623 0 -99370100436.0
629903536.0 1.8475073814 0 -99370096464.0
629907492.0 1.8914956092 0 -99370092508.0
629911448.0 1.9257086753 0 -99370088552.0
629915408.0 1.9208210945 0 -99370084592.0
629919364.0 1.901270771 0 -99370080636.0
629923320.0 1.9159335136 0 -99370076680.0
629927288.0 1.9599218368 0 -99370072712.0
629931236.0 2.0087976455 0 -99370068764.0
629935180.0 1.9745845794 0 -99370064820.0
629939136.0 1.9159335136 0 -99370060864.0
629943112.0 1.8719452857 0 -99370056888.0
629947080.0 1.8719452857 0 -99370052920.0
629951044.0 1.8817204475 0 -99370048956.0
629955008.0 1.8475073814 0 -99370044992.0
629958964.0 1.7888562679 0 -99370041036.0
629962932.0 1.7644183635 0 -99370037068.0
629966896.0 1.7741935253 0 -99370033104.0
629970856.0 1.7888562679 0 -99370029144.0
629974812.0 1.7644183635 0 -99370025188.0
629978784.0 1.7106549739 0 -99370021216.0
629982740.0 1.6764417648 0 -99370017260.0
629986708.0 1.6911046504 0 -99370013292.0
629990660.0 1.7204301357 0 -99370009340.0
629994616.0 1.7253177165 0 -99370005384.0
629998572.0 1.7057673931 0 -99370001428.0
630002536.0 1.7008798122 0 -99369997464.0
630006484.0 1.7350928783 0 -99369993516.0
630010444.0 1.7546432018 0 -99369989556.0
630014408.0 1.74486804 0 -99369985592.0
630018352.0 1.7106549739 0 -99369981648.0
630022320.0 1.7008798122 0 -99369977680.0
630026268.0 1.7350928783 0 -99369973732.0
630030212.0 1.7595307826 0 -99369969788.0
630034172.0 1.7155425548 0 -99369965828.0
630038136.0 1.6226783752 0 -99369961864.0
630042100.0 1.5884653091 0 -99369957900.0
630046064.0 1.7008798122 0 -99369953936.0
630050016.0 1.9403715133 0 -99369949984.0
630053972.0 2.2043011188 0 -99369946028.0
630057924.0 2.5073313713 0 -99369942076.0
630061896.0 2.8983383178 0 -99369938104.0
630065860.0 3.2746822834 0 -99369934140.0
630069828.0 3.4261975288 0 -99369930172.0
630073796.0 3.2746822834 0 -99369926204.0
630077764.0 2.9472141265 0 -99369922236.0
630081732.0 2.6148581504 0 -99369918268.0
630085684.0 2.3558161258 0 -99369914316.0
630089644.0 2.160312891 0 -99369910356.0
630093608.0 1.9794721603 0 -99369906392.0
630097568.0 1.8035190582 0 -99369902432.0
630101516.0 1.6617790222 0 -99369898484.0
630105480.0 1.59335289 0 -99369894520.0
630109436.0 1.5738025665 0 -99369890564.0
630113396.0 1.5444769859 0 -99369886604.0
630117348.0 1.5053763389 0 -99369882652.0
630121308.0 1.4613881111 0 -99369878692.0
630125276.0 1.4711632728 0 -99369874724.0
630129248.0 1.4907135963 0 -99369870752.0
630133204.0 1.5200390815 0 -99369866796.0
630137160.0 1.4956011772 0 -99369862840.0
630141120.0 1.4907135963 0 -99369858880.0
630145072.0 1.5200390815 0 -99369854928.0
630149020.0 1.5640274047 0 -99369850980.0
630152980.0 1.5835777282 0 -99369847020.0
630156948.0 1.5640274047 0 -99369843052.0
630160908.0 1.539589405 0 -99369839092.0
630164860.0 1.5591397285 0 -99369835140.0
630168832.0 1.6080156326 0 -99369831168.0
630172780.0 1.6422286987 0 -99369827220.0
630176740.0 1.6422286987 0 -99369823260.0
630180700.0 1.6031280517 0 -99369819300.0
630184664.0 1.6226783752 0 -99369815336.0
630188628.0 1.6764417648 0 -99369811372.0
630192600.0 1.7008798122 0 -99369807400.0
630196548.0 1.6959922313 0 -99369803452.0
630200520.0 1.6862169265 0 -99369799480.0
630204480.0 1.7155425548 0 -99369795520.0
630208436.0 1.7693059444 0 -99369791564.0
630212396.0 1.7986314296 0 -99369787604.0
630216368.0 1.7888562679 0 -99369783632.0
630220332.0 1.7741935253 0 -99369779668.0
630224292.0 1.7937438488 0 -99369775708.0
630228256.0 1.8426198005 0 -99369771744.0
630232208.0 1.8670577049 0 -99369767792.0
630236156.0 1.8572825431 0 -99369763844.0
630240116.0 1.8328446388 0 -99369759884.0
630244088.0 1.8426198005 0 -99369755912.0
630248048.0 1.8963831901 0 -99369751952.0
630252008.0 1.9159335136 0 -99369747992.0
630255972.0 1.901270771 0 -99369744028.0
630259932.0 1.8817204475 0 -99369740068.0
630263884.0 1.8914956092 0 -99369736116.0
630267840.0 1.9305962562 0 -99369732160.0
630271800.0 1.9599218368 0 -99369728200.0
630275768.0 1.9403715133 0 -99369724232.0
630279736.0 1.9159335136 0 -99369720264.0
630283704.0 1.9305962562 0 -99369716296.0
630287664.0 1.9745845794 0 -99369712336.0
630291620.0 2.0087976455 0 -99369708380.0
630295572.0 1.9990224838 0 -99369704428.0
630299528.0 1.9696969985 0 -99369700472.0
630303488.0 1.9696969985 0 -99369696512.0
630307448.0 1.9990224838 0 -99369692552.0
630311404.0 2.0185728073 0 -99369688596.0
630315364.0 2.0136852264 0 -99369684636.0
630319328.0 1.989247322 0 -99369680672.0
630323280.0 1.9648094177 0 -99369676720.0
630327232.0 1.989247322 0 -99369672768.0
630331188.0 2.0087976455 0 -99369668812.0
630335136.0 1.989247322 0 -99369664864.0
630339096.0 1.9501466751 0 -99369660904.0
630343064.0 1.9208210945 0 -99369656936.0
630347024.0 1.9257086753 0 -99369652976.0
630350984.0 1.9257086753 0 -99369649016.0
630354932.0 1.8914956092 0 -99369645068.0
630358892.0 1.8328446388 0 -99369641108.0
630362860.0 1.783968687 0 -99369637140.0
630366824.0 1.7888562679 0 -99369633176.0
630370784.0 1.808406639 0 -99369629216.0
630374732.0 1.7595307826 0 -99369625268.0
630378692.0 1.7057673931 0 -99369621308.0
630382652.0 1.6764417648 0 -99369617348.0
630386612.0 1.6911046504 0 -99369613388.0
