timestamp,ecg_measurement
2.949380072000000000e+09,1.451612949300000066e+00
2.949384076000000000e+09,1.505376338900000110e+00
2.949388076000000000e+09,1.441837787599999920e+00
2.949392076000000000e+09,1.461388111099999998e+00
2.949396088000000000e+09,1.593352890000000022e+00
2.949400088000000000e+09,1.705767393099999918e+00
2.949404088000000000e+09,1.686216926499999991e+00
2.949408092000000000e+09,1.573802566499999944e+00
2.949412092000000000e+09,1.564027404700000012e+00
2.949416092000000000e+09,1.695992231299999986e+00
2.949420096000000000e+09,1.788856267899999963e+00
2.949424084000000000e+09,1.764418363499999920e+00
2.949428092000000000e+09,1.642228698700000100e+00
2.949432092000000000e+09,1.627565956099999989e+00
2.949436100000000000e+09,1.754643201799999996e+00
2.949440104000000000e+09,1.862170123999999927e+00
2.949444092000000000e+09,1.832844638799999926e+00
2.949448104000000000e+09,1.710654973900000098e+00
2.949452104000000000e+09,1.691104650400000020e+00
2.949456104000000000e+09,1.808406638999999982e+00
2.949460088000000000e+09,1.901270771000000082e+00
2.949464076000000000e+09,1.867057704899999893e+00
2.949468064000000000e+09,1.744868040000000065e+00
2.949472056000000000e+09,1.730205297399999953e+00
2.949476048000000000e+09,1.842619800500000071e+00
2.949480040000000000e+09,1.945259094200000094e+00
2.949484040000000000e+09,1.920821094499999937e+00
2.949488036000000000e+09,1.813294315300000070e+00
2.949492044000000000e+09,1.798631429600000109e+00
2.949496056000000000e+09,1.930596256200000083e+00
2.949500052000000000e+09,2.052785873399999961e+00
2.949504048000000000e+09,2.018572807299999994e+00
2.949508040000000000e+09,1.906158351800000039e+00
2.949512040000000000e+09,1.901270771000000082e+00
2.949516028000000000e+09,2.033235549900000105e+00
2.949520028000000000e+09,2.135874986600000192e+00
2.949524028000000000e+09,2.116324424700000151e+00
2.949528036000000000e+09,2.008797645500000062e+00
2.949532028000000000e+09,2.013685226399999806e+00
2.949536028000000000e+09,2.145650148300000115e+00
2.949540028000000000e+09,2.248289346600000016e+00
2.949544028000000000e+09,2.218963861399999793e+00
2.949548020000000000e+09,2.091886520300000107e+00
2.949552012000000000e+09,2.077223777699999996e+00
2.949556012000000000e+09,2.179863214400000082e+00
2.949560012000000000e+09,2.277614831899999803e+00
2.949564020000000000e+09,2.233626603999999904e+00
2.949568012000000000e+09,2.086998939499999928e+00
2.949572004000000000e+09,2.047898292500000217e+00
2.949575996000000000e+09,2.140762567499999935e+00
2.949579996000000000e+09,2.218963861399999793e+00
2.949584004000000000e+09,2.140762567499999935e+00
2.949588004000000000e+09,1.974584579400000095e+00
