sysTime timestamp ecg beat ibi 
1338465061 779495776.000000 1.935484 0 0.000000 
1338465073 779507748.000000 1.559140 0 0.000000 
1338465085 779519708.000000 2.018573 0 0.000000 
1338465097 779531668.000000 2.790811 0 0.000000 
1338465109 779543620.000000 3.059628 0 0.000000 
1338465121 779555572.000000 2.013685 0 0.000000 
1338465133 779567528.000000 1.094819 0 0.000000 
1338465145 779579496.000000 1.490714 0 0.000000 
1338465157 779591452.000000 1.554252 0 0.000000 
1338465169 779603424.000000 1.593353 0 0.000000 
1338465181 779615384.000000 1.857283 0 0.000000 
1338465193 779627348.000000 1.583578 0 0.000000 
1338465204 779639316.000000 1.911046 0 0.000000 
1338465216 779651284.000000 1.779081 0 0.000000 
1338465229 779663228.000000 1.774194 0 0.000000 
1338465240 779675200.000000 1.999022 0 0.000000 
1338465252 779687156.000000 1.715543 0 0.000000 
1338465264 779699108.000000 2.043011 0 0.000000 
1338465277 779711072.000000 1.906158 0 0.000000 
1338465288 779723032.000000 1.920821 0 0.000000 
1338465300 779734988.000000 2.145650 0 0.000000 
1338465312 779746960.000000 1.842620 0 0.000000 
1338465325 779758908.000000 2.126100 0 0.000000 
1338465336 779770868.000000 1.876833 0 0.000000 
1338465348 779782836.000000 1.779081 0 0.000000 
1338465360 779794796.000000 1.852395 0 0.000000 
1338465373 779806772.000000 1.495601 0 0.000000 
1338465385 779818736.000000 1.749756 0 0.000000 
1338465397 779830692.000000 1.549365 0 0.000000 
1338465409 779842660.000000 1.603128 0 0.000000 
1338465421 779854612.000000 1.783969 0 0.000000 
1338465433 779866572.000000 1.520039 0 0.000000 
1338465445 779878528.000000 1.842620 0 0.000000 
1338465457 779890476.000000 1.632454 0 0.000000 
1338465469 779902444.000000 1.695992 0 0.000000 
1338465481 779914412.000000 1.832845 0 0.000000 
1338465493 779926372.000000 1.544477 0 0.000000 
1338465505 779938344.000000 1.862170 0 0.000000 
1338465516 779950300.000000 1.627566 0 0.000000 
1338465528 779962252.000000 1.695992 0 0.000000 
1338465540 779974212.000000 1.818182 0 0.000000 
1338465552 779986172.000000 1.564027 0 0.000000 
1338465564 779998116.000000 1.876833 0 0.000000 
1338465576 780010068.000000 1.637341 0 0.000000 
1338465588 780022040.000000 1.725318 0 0.000000 
1338465601 780034008.000000 1.862170 0 0.000000 
1338465613 780045964.000000 1.652004 0 0.000000 
1338465624 780057916.000000 2.043011 0 0.000000 
1338465637 780069872.000000 1.842620 0 0.000000 
1338465648 780081832.000000 1.940372 0 0.000000 
1338465661 780093800.000000 1.984360 0 0.000000 
1338465673 780105772.000000 1.725318 0 0.000000 
1338465685 780117740.000000 2.043011 0 0.000000 
1338465697 780129696.000000 1.808407 0 0.000000 
1338465709 780141648.000000 1.984360 0 0.000000 
1338465721 780153612.000000 2.126100 0 0.000000 
1338465732 780165576.000000 1.901271 0 0.000000 
1338465745 780177524.000000 2.214076 0 0.000000 
1338465756 780189480.000000 1.827957 0 0.000000 
1338465768 780201436.000000 2.135875 0 0.000000 
1338465780 780213404.000000 3.157380 0 0.000000 
1338465792 780225364.000000 3.299120 0 0.000000 
1338465804 780237324.000000 2.145650 0 0.000000 
1338465815 780249284.000000 1.226784 0 0.000000 
1338465828 780261228.000000 1.588465 1 0.785714 
1338465839 780273184.000000 1.749756 0 0.000000 
1338465851 780285148.000000 1.627566 0 0.000000 
1338465863 780297112.000000 1.989247 0 0.000000 
1338465875 780309064.000000 1.739980 0 0.000000 
1338465887 780321024.000000 1.950147 0 0.000000 
1338465899 780332992.000000 1.974585 0 0.000000 
1338465911 780344956.000000 1.783969 0 0.000000 
1338465923 780356908.000000 2.082111 0 0.000000 
1338465936 780368876.000000 1.783969 0 0.000000 
