timestamp,measurement,qrs_detected
2962727684,3.1818182468,0
2962731692,3.5190615653,0
2962735696,3.8660800933,0
2962739684,4.0664710998,0
2962743676,4.1495599746,0
2962747676,4.2619748115,0
2962751684,4.2961878776,0
2962755684,4.0615835189,0
2962759676,3.4457478523,0
2962763684,2.7174975872,0
2962767692,2.2043011188,0
2962771696,1.9892473220,0
2962775696,1.9452590942,0
2962779696,1.8328446388,0
2962783704,1.7008798122,0
2962787704,1.7106549739,0
2962791712,1.8670577049,0
2962795712,1.9794721603,0
2962799712,1.8963831901,0
2962803708,1.7057673931,0
2962807716,1.6324535369,0
2962811724,1.6666666030,0
2962815728,1.6715541839,0
2962819732,1.5249266624,0
2962823740,1.2707722187,0
2962827740,1.1045943498,0
2962831728,1.0557184219,0
2962835732,0.9970674514,0
2962839724,0.8260019302,0
2962843700,0.5816226482,0
2962847692,0.3861192512,0
2962851692,0.2932551193,0
2962855692,0.2150537729,0
2962859692,0.1368523955,0
2962863692,0.0879765415,0
2962867692,0.0488758563,0
2962871684,0.0293255119,0
2962875684,0.0146627559,0
2962879676,0.0048875851,0
2962883628,0.0000000000,0
2962887548,0.0048875851,0
2962891500,0.0000000000,0
2962895404,0.0000000000,0
2962899308,0.0000000000,0
2962903204,0.0000000000,0
2962907084,0.0000000000,0
2962910988,0.0000000000,0
2962914892,0.0000000000,0
2962918796,0.0000000000,0
2962922700,0.0000000000,0
2962926604,0.0000000000,0
2962930532,0.0097751703,0
2962934516,0.0439882707,0
2962938508,0.0342130994,0
2962942500,0.0195503416,0
2962946500,0.0244379281,0
2962950500,0.0928641223,0
2962954500,0.2150537729,0
2962958508,0.2297165155,0
2962962508,0.1612903118,0
2962966500,0.1417399787,0
2962970500,0.2297165155,0
2962974508,0.3763440847,0
2962978500,0.4252199649,0
2962982492,0.3763440847,0
2962986484,0.3421309947,0
2962990476,0.4252199649,0
2962994464,0.5474095821,0
2962998460,0.6060606002,0
2963002416,0.5180840492,0
2963006396,0.4398827075,0
2963010388,0.4789833545,0
2963014388,0.5816226482,0
2963018388,0.6207233428,0
2963022376,0.5131964683,0
2963026380,0.4349951267,0
2963030380,0.4887585639,0
2963034380,0.6011730194,0
2963038372,0.6402736663,0
2963042356,0.5620723247,0
2963046336,0.5131964683,0
2963050340,0.5718474864,0
2963054332,0.7086998939,0
2963058316,0.7624633312,0
2963062308,0.6989247322,0
2963066300,0.6549364089,0
2963070284,0.7184750556,0
2963074268,0.8504399299,0
2963078244,0.9188660621,0
2963082224,0.8651026725,0
2963086212,0.8260019302,0
2963090196,0.8895405769,0
2963094168,1.0215053558,0
2963098160,1.0801564407,0
2963102144,1.0215053558,0
2963106140,0.9677418708,0
2963110128,1.0361680984,0
2963114120,1.1730204820,0
2963118112,1.2316715717,0
2963122112,1.1730204820,0
2963126104,1.1094819307,0
2963130096,1.1730204820,0
2963134084,1.2952101230,0
2963138084,1.3489736318,0
2963142092,1.2756597995,0
2963146100,1.2072336673,0
2963150100,1.2609970569,0
2963154092,1.3782991170,0
2963158096,1.4271749496,0
2963162092,1.3489736318,0
2963166100,1.2805473804,0
2963170092,1.3489736318,0
2963174104,1.4565005302,0
2963178096,1.4956011772,0
2963182100,1.3978494453,0
2963186108,1.3245357275,0
2963190116,1.3782991170,0
2963194116,1.5004887580,0
2963198108,1.5395894050,0
2963202104,1.4516129493,0
2963206100,1.3831867027,0
2963210100,1.4418377876,0
2963214108,1.5591397285,0
2963218108,1.5982404708,0
2963222100,1.5004887580,0
2963226084,1.4271749496,0
2963230088,1.4662756919,0
2963234096,1.5933528900,0
2963238096,1.6226783752,0
2963242092,1.5249266624,0
2963246100,1.4565005302,0
2963250088,1.4956011772,0
2963254084,1.6275659561,0
2963258092,1.6666666030,0
2963262092,1.5786901473,0
2963266092,1.5249266624,0
2963270092,1.5591397285,0
2963274104,1.6862169265,0
2963278112,1.7399804592,0
2963282108,1.6471162796,0
2963286120,1.5933528900,0
2963290108,1.6666666030,0
2963294100,1.7986314296,0
2963298104,1.8279570579,0
2963302100,1.7350928783,0
2963306100,1.6666666030,0
2963310104,1.7155425548,0
2963314108,1.8328446388,0
2963318120,1.8719452857,0
2963322128,1.7302052974,0
2963326124,1.6275659561,0
2963330124,1.6471162796,0
2963334124,1.7350928783,0
2963338128,1.7399804592,0
2963342124,1.6177907943,0
2963346124,1.5298142433,0
2963350132,1.5689149856,0
2963354144,1.6862169265,0
2963358152,1.7155425548,0
2963362160,1.6080156326,0
2963366156,1.5298142433,0
2963370164,1.5786901473,0
2963374156,1.6959922313,0
2963378160,1.7253177165,0
2963382168,1.6226783752,0
2963386180,1.5395894050,0
2963390164,1.5982404708,0
2963394160,1.7155425548,0
2963398164,1.7350928783,0
2963402164,1.6275659561,0
2963406180,1.5395894050,0
2963410168,1.5933528900,0
2963414168,1.7399804592,0
2963418160,1.8426198005,0
2963422152,1.8719452857,0
2963426160,1.9941349029,0
2963430156,2.3020527362,0
2963434156,2.7077224254,0
2963438160,2.9960899353,0
2963442156,3.0058650970,0
2963446140,2.8347995758,0
2963450148,2.5806450843,0
2963454140,2.2482893466,0
2963458140,1.8035190582,0
2963462124,1.3440860509,0
2963466104,1.0361680984,0
2963470100,0.9726295471,1
2963474100,1.0997067642,0
2963478092,1.2218964099,0
2963482092,1.2316715717,0
2963486100,1.2561094760,0
2963490100,1.3880742835,0
2963494100,1.5689149856,0
2963498100,1.6520038604,0
