timestamp ecg beat_detected
2387333148.0 1.8035190582 0
2387337140.0 1.8035190582 0
2387341140.0 1.7937438488 0
2387345148.0 1.7693059444 0
2387349152.0 1.7399804592 0
2387353148.0 1.7204301357 0
2387357152.0 1.7155425548 0
2387361156.0 1.7057673931 0
2387365164.0 1.6813293457 0
2387369172.0 1.6520038604 0
2387373156.0 1.6373411178 0
2387377172.0 1.6324535369 0
2387381172.0 1.6324535369 0
2387385180.0 1.6177907943 0
2387389184.0 1.6080156326 0
2387393180.0 1.6031280517 0
2387397180.0 1.6177907943 0
2387401184.0 1.6226783752 0
2387405192.0 1.6129032135 0
2387409196.0 1.5982404708 0
2387413192.0 1.59335289 0
2387417180.0 1.6031280517 0
2387421176.0 1.6129032135 0
2387425192.0 1.6129032135 0
2387429196.0 1.6031280517 0
2387433200.0 1.6226783752 0
2387437204.0 1.6471162796 0
2387441220.0 1.6764417648 0
2387445228.0 1.6911046504 0
2387449228.0 1.7057673931 0
2387453240.0 1.7253177165 0
2387457244.0 1.7693059444 0
2387461236.0 1.8181818962 0
2387465244.0 1.8328446388 0
2387469248.0 1.8475073814 0
2387473248.0 1.8719452857 0
2387477256.0 1.8963831901 0
2387481256.0 1.9257086753 0
2387485256.0 1.9305962562 0
2387489256.0 1.9208210945 0
2387493256.0 1.9305962562 0
2387497256.0 1.9501466751 0
2387501252.0 1.9696969985 0
2387505248.0 1.9745845794 0
2387509252.0 1.9745845794 0
2387513248.0 1.9843597412 0
2387517252.0 2.0039100646 0
2387521236.0 2.0234603881 0
2387525228.0 2.028347969 0
2387529220.0 2.0234603881 0
2387533212.0 2.028347969 0
2387537204.0 2.0478982925 0
2387541196.0 2.067448616 0
2387545180.0 2.0772237777 0
2387549180.0 2.0772237777 0
2387553180.0 2.0918865203 0
2387557180.0 2.1260998249 0
2387561180.0 2.1505377292 0
2387565180.0 2.1358749866 0
2387569188.0 2.1407625675 0
2387573188.0 2.1260998249 0
2387577188.0 2.1309874057 0
2387581180.0 2.1309874057 0
2387585172.0 2.106549263 0
2387589168.0 2.0772237777 0
2387593164.0 2.0625610351 0
