timestamp ecg beat_detected ibi
3899275588.0 1.5542521476 0 -96100724412.0
3899279600.0 1.823069477 0 -96100720400.0
3899283596.0 1.9696969985 0 -96100716404.0
3899287600.0 1.7937438488 0 -96100712400.0
3899291604.0 1.5493645668 0 -96100708396.0
3899295612.0 1.5591397285 0 -96100704388.0
3899299624.0 1.8279570579 0 -96100700376.0
3899303624.0 1.9794721603 0 -96100696376.0
3899307628.0 1.7937438488 0 -96100692372.0
3899311636.0 1.5542521476 0 -96100688364.0
3899315644.0 1.5738025665 0 -96100684356.0
3899319652.0 1.8523949623 0 -96100680348.0
3899323660.0 2.0039100646 0 -96100676340.0
3899327656.0 1.8328446388 0 -96100672344.0
3899331652.0 1.5884653091 0 -96100668348.0
3899335656.0 1.6080156326 0 -96100664344.0
3899339656.0 1.8866080284 0 -96100660344.0
3899343652.0 2.0430107116 0 -96100656348.0
3899347656.0 1.862170124 0 -96100652344.0
3899351664.0 1.6129032135 0 -96100648336.0
3899355676.0 1.6275659561 0 -96100644324.0
3899359684.0 1.8914956092 0 -96100640316.0
3899363684.0 2.0381231307 0 -96100636316.0
3899367688.0 1.8572825431 0 -96100632312.0
3899371692.0 1.5982404708 0 -96100628308.0
3899375684.0 1.6177907943 0 -96100624316.0
3899379688.0 1.8866080284 0 -96100620312.0
3899383684.0 2.0430107116 0 -96100616316.0
3899387680.0 1.862170124 0 -96100612320.0
3899391680.0 1.6129032135 0 -96100608320.0
3899395692.0 1.6275659561 0 -96100604308.0
3899399704.0 1.8963831901 0 -96100600296.0
3899403700.0 2.0430107116 0 -96100596300.0
3899407696.0 1.862170124 0 -96100592304.0
3899411692.0 1.6324535369 0 -96100588308.0
3899415700.0 1.6324535369 0 -96100584300.0
3899419700.0 1.901270771 0 -96100580300.0
3899423692.0 2.0478982925 0 -96100576308.0
3899427688.0 1.8670577049 0 -96100572312.0
3899431676.0 1.6275659561 0 -96100568324.0
3899435688.0 1.6226783752 0 -96100564312.0
3899439692.0 1.8914956092 0 -96100560308.0
3899443692.0 2.0527858734 0 -96100556308.0
3899447696.0 1.8523949623 0 -96100552304.0
3899451700.0 1.6031280517 0 -96100548300.0
3899455704.0 1.6080156326 0 -96100544296.0
3899459692.0 1.8817204475 0 -96100540308.0
3899463696.0 2.0234603881 0 -96100536304.0
3899467688.0 1.8475073814 0 -96100532312.0
3899471684.0 1.5982404708 0 -96100528316.0
3899475680.0 1.6080156326 0 -96100524320.0
3899479680.0 1.8866080284 0 -96100520320.0
3899483676.0 2.0381231307 0 -96100516324.0
3899487680.0 1.862170124 0 -96100512320.0
3899491676.0 1.6177907943 0 -96100508324.0
3899495680.0 1.6226783752 0 -96100504320.0
3899499688.0 1.8963831901 0 -96100500312.0
3899503684.0 2.0576734542 0 -96100496316.0
3899507676.0 1.8914956092 0 -96100492324.0
