timestamp ecg beat_detected ibi
4004206680.0 1.7106549739 0 -95995793320.0
4004210680.0 1.9159335136 0 -95995789320.0
4004214688.0 1.9745845794 0 -95995785312.0
4004218696.0 1.8426198005 0 -95995781304.0
4004222692.0 1.7350928783 0 -95995777308.0
4004226696.0 1.8475073814 0 -95995773304.0
4004230692.0 2.0625610351 0 -95995769308.0
4004234692.0 2.1212120056 0 -95995765308.0
4004238704.0 1.9501466751 0 -95995761296.0
4004242716.0 1.8035190582 0 -95995757284.0
4004246720.0 1.9061583518 0 -95995753280.0
4004250716.0 2.1309874057 0 -95995749284.0
4004254692.0 2.1847507953 0 -95995745308.0
4004258692.0 2.0381231307 0 -95995741308.0
4004262692.0 1.9110459327 0 -95995737308.0
4004266696.0 1.9941349029 0 -95995733304.0
4004270692.0 2.2385141849 0 -95995729308.0
4004274700.0 2.3313782215 0 -95995725300.0
4004278724.0 2.1994135379 0 -95995721276.0
4004282732.0 2.0723361968 0 -95995717268.0
4004286732.0 2.1749756336 0 -95995713268.0
4004290740.0 2.3851418495 0 -95995709260.0
4004294740.0 2.4193549156 0 -95995705260.0
4004298740.0 2.2189638614 0 -95995701260.0
4004302748.0 2.0381231307 0 -95995697252.0
4004306748.0 2.0918865203 0 -95995693252.0
4004310740.0 2.2825024127 0 -95995689260.0
4004314740.0 2.2922775745 0 -95995685260.0
4004318748.0 2.0918865203 0 -95995681252.0
4004322740.0 1.9159335136 0 -95995677260.0
4004326748.0 1.9452590942 0 -95995673252.0
4004330748.0 2.0772237777 0 -95995669252.0
4004334752.0 2.0772237777 0 -95995665248.0
4004338748.0 1.8914956092 0 -95995661252.0
4004342740.0 1.7302052974 0 -95995657260.0
4004346732.0 1.7986314296 0 -95995653268.0
4004350740.0 1.9599218368 0 -95995649260.0
4004354752.0 1.9941349029 0 -95995645248.0
4004358748.0 1.823069477 0 -95995641252.0
4004362740.0 1.6520038604 0 -95995637260.0
4004366732.0 1.7008798122 0 -95995633268.0
4004370724.0 1.8719452857 0 -95995629276.0
4004374732.0 1.8914956092 0 -95995625268.0
4004378724.0 1.7106549739 0 -95995621276.0
4004382732.0 1.5591397285 0 -95995617268.0
4004386732.0 1.6177907943 0 -95995613268.0
4004390732.0 1.8132943153 0 -95995609268.0
4004394744.0 1.8670577049 0 -95995605256.0
4004398732.0 1.7106549739 0 -95995601268.0
4004402732.0 1.5689149856 0 -95995597268.0
4004406740.0 1.6422286987 0 -95995593260.0
4004410740.0 1.8377322196 0 -95995589260.0
4004414748.0 1.8817204475 0 -95995585252.0
4004418748.0 1.7155425548 0 -95995581252.0
4004422748.0 1.5689149856 0 -95995577252.0
4004426740.0 1.6373411178 0 -95995573260.0
4004430748.0 1.8279570579 0 -95995569252.0
4004434752.0 1.8670577049 0 -95995565248.0
4004438748.0 1.7106549739 0 -95995561252.0
4004442748.0 1.5738025665 0 -95995557252.0
4004446748.0 1.6520038604 0 -95995553252.0
