timestamp ecg beat_detected ibi
24808628.0 1.7986314296 0 -99975191372.0
24812556.0 3.172043085 0 -99975187444.0
24816460.0 3.5190615653 0 -99975183540.0
24820372.0 2.2825024127 0 -99975179628.0
24824292.0 1.3489736318 0 -99975175708.0
24828212.0 1.666666603 0 -99975171788.0
24832132.0 3.0498533248 0 -99975167868.0
24836044.0 3.607038021 0 -99975163956.0
24839948.0 2.404692173 0 -99975160052.0
24843868.0 1.4271749496 0 -99975156132.0
24847796.0 1.5298142433 0 -99975152204.0
24851728.0 2.9178886413 0 -99975148272.0
24855644.0 3.6705768108 0 -99975144356.0
24859556.0 2.5219941139 0 -99975140444.0
24863484.0 1.500488758 0 -99975136516.0
24867384.0 1.4173997879 0 -99975132616.0
24871308.0 2.7761485576 0 -99975128692.0
24875232.0 3.7145650386 0 -99975124768.0
24879148.0 2.649071455 0 -99975120852.0
24883060.0 1.5835777282 0 -99975116940.0
24886988.0 1.3440860509 0 -99975113012.0
24890892.0 2.6441838741 0 -99975109108.0
24894820.0 3.6901271343 0 -99975105180.0
24898748.0 2.7761485576 0 -99975101252.0
24902676.0 1.666666603 0 -99975097324.0
24906588.0 1.2707722187 0 -99975093412.0
24910508.0 2.5024437904 0 -99975089492.0
24914412.0 3.6461389064 0 -99975085588.0
24918324.0 2.9081134796 0 -99975081676.0
24922236.0 1.7741935253 0 -99975077764.0
24926156.0 1.2121212482 0 -99975073844.0
24930084.0 2.3509285449 0 -99975069916.0
24934004.0 3.5826001167 0 -99975065996.0
24937916.0 3.0400781631 0 -99975062084.0
24941832.0 1.862170124 0 -99975058168.0
24945740.0 1.1974585056 0 -99975054260.0
24949644.0 2.1994135379 0 -99975050356.0
24953568.0 3.4799609184 0 -99975046432.0
24957484.0 3.1769306659 0 -99975042516.0
24961400.0 1.9794721603 0 -99975038600.0
24965312.0 1.2121212482 0 -99975034688.0
24969232.0 2.0430107116 0 -99975030768.0
24973140.0 3.3724339008 0 -99975026860.0
24977052.0 3.3088953495 0 -99975022948.0
24980972.0 2.0821113586 0 -99975019028.0
24984892.0 1.2512218952 0 -99975015108.0
24988824.0 1.901270771 0 -99975011176.0
24992724.0 3.2600195407 0 -99975007276.0
24996636.0 3.4310851097 0 -99975003364.0
25000548.0 2.1994135379 0 -99974999452.0
25004476.0 1.295210123 0 -99974995524.0
25008388.0 1.7546432018 0 -99974991612.0
25012300.0 3.1427175998 0 -99974987700.0
25016204.0 3.5434994697 0 -99974983796.0
25020124.0 2.311827898 0 -99974979876.0
25024048.0 1.3685239553 0 -99974975952.0
25027968.0 1.6226783752 0 -99974972032.0
25031892.0 3.0156402587 0 -99974968108.0
25035804.0 3.6265885829 0 -99974964196.0
25039716.0 2.4340176582 0 -99974960284.0
25043640.0 1.4369501113 0 -99974956360.0
25047556.0 1.500488758 0 -99974952444.0
25051460.0 2.8787879943 0 -99974948540.0
25055376.0 3.6852395534 0 -99974944624.0
25059292.0 2.5610947608 0 -99974940708.0
25063196.0 1.5249266624 0 -99974936804.0
25067116.0 1.3880742835 0 -99974932884.0
25071040.0 2.7321603298 0 -99974928960.0
25074956.0 3.6950147151 0 -99974925044.0
25078868.0 2.6930596828 0 -99974921132.0
25082784.0 1.6129032135 0 -99974917216.0
25086708.0 1.3147605657 0 -99974913292.0
25090628.0 2.6001954078 0 -99974909372.0
25094536.0 3.6754643917 0 -99974905464.0
25098460.0 2.8152492523 0 -99974901540.0
25102380.0 1.7057673931 0 -99974897620.0
25106300.0 1.2414467334 0 -99974893700.0
25110212.0 2.4486804008 0 -99974889788.0
