sysTime timestamp ecg beat ibi 
0 6004716.000000 0.464321 0 0.000000 
0 6008588.000000 0.425220 0 0.000000 
0 6012452.000000 0.498534 0 0.000000 
0 6016332.000000 0.606061 0 0.000000 
0 6020172.000000 0.610948 0 0.000000 
0 6024036.000000 0.469208 0 0.000000 
0 6027908.000000 0.386119 0 0.000000 
0 6031788.000000 0.474096 0 0.000000 
0 6035648.000000 0.586510 0 0.000000 
0 6039508.000000 0.620723 0 0.000000 
0 6043380.000000 0.488759 0 0.000000 
0 6047252.000000 0.391007 0 0.000000 
0 6051116.000000 0.478983 0 0.000000 
0 6054988.000000 0.596285 0 0.000000 
0 6058852.000000 0.669599 0 0.000000 
0 6062720.000000 0.586510 0 0.000000 
0 6066592.000000 0.474096 0 0.000000 
0 6070448.000000 0.527859 0 0.000000 
0 6074316.000000 0.664712 0 0.000000 
0 6078196.000000 0.752688 0 0.000000 
0 6082076.000000 0.689150 0 0.000000 
0 6085948.000000 0.562072 0 0.000000 
0 6089808.000000 0.586510 0 0.000000 
0 6093676.000000 0.713587 0 0.000000 
0 6097556.000000 0.816227 0 0.000000 
0 6101420.000000 0.786901 0 0.000000 
0 6105292.000000 0.669599 0 0.000000 
0 6109156.000000 0.694037 0 0.000000 
0 6113028.000000 0.811339 0 0.000000 
0 6116908.000000 0.928641 0 0.000000 
0 6120788.000000 0.928641 0 0.000000 
0 6124652.000000 0.777126 0 0.000000 
0 6128516.000000 0.733138 0 0.000000 
0 6132396.000000 0.830890 0 0.000000 
0 6136268.000000 0.938416 0 0.000000 
0 6140148.000000 0.948192 0 0.000000 
0 6144024.000000 0.806452 0 0.000000 
0 6147884.000000 0.694037 0 0.000000 
0 6151756.000000 0.757576 0 0.000000 
0 6155620.000000 0.860215 0 0.000000 
0 6159484.000000 0.874878 0 0.000000 
0 6163356.000000 0.738025 0 0.000000 
0 6167224.000000 0.625611 0 0.000000 
0 6171100.000000 0.684262 0 0.000000 
0 6174972.000000 0.821114 0 0.000000 
0 6178852.000000 0.869990 0 0.000000 
0 6182708.000000 0.786901 0 0.000000 
0 6186580.000000 0.679374 0 0.000000 
0 6190444.000000 0.718475 0 0.000000 
0 6194308.000000 0.850440 0 0.000000 
0 6198172.000000 0.938416 0 0.000000 
0 6202044.000000 0.879765 0 0.000000 
0 6205924.000000 0.752688 0 0.000000 
0 6209796.000000 0.767351 0 0.000000 
0 6213656.000000 0.894428 0 0.000000 
0 6217516.000000 0.997067 0 0.000000 
0 6221388.000000 0.943304 0 0.000000 
0 6225260.000000 0.786901 0 0.000000 
0 6229132.000000 0.767351 0 0.000000 
0 6232996.000000 0.913978 0 0.000000 
0 6236864.000000 1.094819 0 0.000000 
0 6240740.000000 1.202346 0 0.000000 
0 6244612.000000 1.256109 0 0.000000 
0 6248476.000000 1.461388 0 0.000000 
0 6252360.000000 1.871945 0 0.000000 
0 6256236.000000 2.326491 0 0.000000 
0 6260108.000000 2.585533 0 0.000000 
0 6263988.000000 2.458456 0 0.000000 
0 6267868.000000 2.184751 0 0.000000 
0 6271752.000000 1.920821 0 0.000000 
0 6275624.000000 1.622678 0 0.000000 
0 6279500.000000 1.270772 0 0.000000 
0 6283388.000000 0.869990 0 0.000000 
0 6287252.000000 0.576735 0 0.000000 
0 6291120.000000 0.503421 0 0.000000 
0 6294988.000000 0.591398 0 0.000000 
0 6298860.000000 0.698925 0 0.000000 
0 6302736.000000 0.674487 0 0.000000 
0 6306596.000000 0.650049 0 0.000000 
0 6310460.000000 0.772238 0 0.000000 
0 6314332.000000 0.982405 0 0.000000 
0 6318184.000000 1.138807 0 0.000000 
0 6322056.000000 1.129032 0 0.000000 
0 6325936.000000 1.026393 0 0.000000 
0 6329816.000000 1.070381 0 0.000000 
0 6333684.000000 1.221896 0 0.000000 
0 6337564.000000 1.358749 0 0.000000 
0 6341436.000000 1.324536 0 0.000000 
0 6345328.000000 1.187683 0 0.000000 
0 6349208.000000 1.187683 0 0.000000 
0 6353092.000000 1.324536 0 0.000000 
0 6356972.000000 1.441838 0 0.000000 
0 6360852.000000 1.441838 0 0.000000 
0 6364740.000000 1.309873 0 0.000000 
0 6368612.000000 1.265885 0 0.000000 
0 6372492.000000 1.392962 0 0.000000 
0 6376372.000000 1.520039 0 0.000000 
0 6380244.000000 1.549365 0 0.000000 
0 6384136.000000 1.417400 0 0.000000 
0 6388024.000000 1.373412 0 0.000000 
0 6391912.000000 1.466276 0 0.000000 
0 6395788.000000 1.603128 0 0.000000 
0 6399660.000000 1.637341 0 0.000000 
0 6403548.000000 1.524927 0 0.000000 
0 6407428.000000 1.427175 0 0.000000 
0 6411312.000000 1.524927 0 0.000000 
0 6415188.000000 1.661779 0 0.000000 
0 6419072.000000 1.730205 0 0.000000 
0 6422944.000000 1.622678 0 0.000000 
0 6426828.000000 1.500489 0 0.000000 
0 6430676.000000 1.564027 0 0.000000 
0 6434552.000000 1.700880 0 0.000000 
0 6438420.000000 1.783969 0 0.000000 
0 6442296.000000 1.710655 0 0.000000 
0 6446164.000000 1.583578 0 0.000000 
0 6450044.000000 1.608016 0 0.000000 
0 6453920.000000 1.744868 0 0.000000 
0 6457784.000000 1.847507 0 0.000000 
0 6461652.000000 1.798631 0 0.000000 
0 6465524.000000 1.652004 0 0.000000 
0 6469388.000000 1.656891 0 0.000000 
0 6473276.000000 1.803519 0 0.000000 
0 6477152.000000 1.906158 0 0.000000 
0 6481032.000000 1.886608 0 0.000000 
0 6484892.000000 1.735093 0 0.000000 
0 6488776.000000 1.700880 0 0.000000 
0 6492644.000000 1.823069 0 0.000000 
0 6496508.000000 1.940372 0 0.000000 
0 6500388.000000 1.945259 0 0.000000 
0 6504260.000000 1.779081 0 0.000000 
0 6508144.000000 1.710655 0 0.000000 
0 6512020.000000 1.798631 0 0.000000 
0 6515904.000000 1.915934 0 0.000000 
0 6519792.000000 1.930596 0 0.000000 
0 6523660.000000 1.783969 0 0.000000 
0 6527528.000000 1.652004 0 0.000000 
0 6531400.000000 1.710655 0 0.000000 
0 6535268.000000 1.818182 0 0.000000 
0 6539152.000000 1.837732 0 0.000000 
0 6543040.000000 1.686217 0 0.000000 
0 6546924.000000 1.534702 0 0.000000 
0 6550804.000000 1.564027 0 0.000000 
0 6554668.000000 1.666667 0 0.000000 
0 6558528.000000 1.715543 0 0.000000 
0 6562404.000000 1.603128 0 0.000000 
0 6566288.000000 1.461388 0 0.000000 
0 6570176.000000 1.456501 0 0.000000 
0 6574036.000000 1.573803 0 0.000000 
0 6577916.000000 1.656891 0 0.000000 
0 6581796.000000 1.588465 0 0.000000 
0 6585672.000000 1.436950 0 0.000000 
0 6589540.000000 1.427175 0 0.000000 
0 6593420.000000 1.559140 0 0.000000 
0 6597312.000000 1.671554 0 0.000000 
0 6601196.000000 1.652004 0 0.000000 
0 6605060.000000 1.505376 0 0.000000 
0 6608940.000000 1.485826 0 0.000000 
0 6612816.000000 1.608016 0 0.000000 
0 6616680.000000 1.739980 0 0.000000 
0 6620552.000000 1.739980 0 0.000000 
0 6624428.000000 1.598240 0 0.000000 
0 6628292.000000 1.529814 0 0.000000 
0 6632180.000000 1.637341 0 0.000000 
0 6636068.000000 1.764418 0 0.000000 
0 6639948.000000 1.793744 0 0.000000 
0 6643836.000000 1.661779 0 0.000000 
0 6647700.000000 1.568915 0 0.000000 
0 6651580.000000 1.656891 0 0.000000 
0 6655460.000000 1.783969 0 0.000000 
0 6659336.000000 1.827957 0 0.000000 
0 6663212.000000 1.700880 0 0.000000 
0 6667076.000000 1.573803 0 0.000000 
0 6670956.000000 1.632454 0 0.000000 
0 6674844.000000 1.769306 0 0.000000 
0 6678720.000000 1.837732 0 0.000000 
0 6682596.000000 1.744868 0 0.000000 
0 6686452.000000 1.588465 0 0.000000 
0 6690336.000000 1.622678 0 0.000000 
0 6694224.000000 1.749756 0 0.000000 
0 6698096.000000 1.827957 0 0.000000 
0 6701968.000000 1.749756 0 0.000000 
0 6705844.000000 1.588465 0 0.000000 
0 6709724.000000 1.578690 0 0.000000 
0 6713604.000000 1.700880 0 0.000000 
0 6717476.000000 1.788856 0 0.000000 
0 6721352.000000 1.735093 0 0.000000 
0 6725228.000000 1.564027 0 0.000000 
0 6729100.000000 1.510264 0 0.000000 
0 6732980.000000 1.617791 0 0.000000 
0 6736856.000000 1.715543 0 0.000000 
0 6740732.000000 1.695992 0 0.000000 
0 6744612.000000 1.529814 0 0.000000 
0 6748496.000000 1.476051 0 0.000000 
0 6752356.000000 1.578690 0 0.000000 
0 6756232.000000 1.700880 0 0.000000 
0 6760104.000000 1.715543 0 0.000000 
0 6763980.000000 1.568915 0 0.000000 
0 6767864.000000 1.476051 0 0.000000 
0 6771740.000000 1.568915 0 0.000000 
0 6775612.000000 1.710655 0 0.000000 
0 6779488.000000 1.739980 0 0.000000 
0 6783368.000000 1.622678 0 0.000000 
0 6787252.000000 1.505376 0 0.000000 
0 6791124.000000 1.573803 0 0.000000 
0 6795008.000000 1.710655 0 0.000000 
0 6798888.000000 1.779081 0 0.000000 
0 6802756.000000 1.676442 0 0.000000 
0 6806628.000000 1.539589 0 0.000000 
0 6810484.000000 1.583578 0 0.000000 
0 6814376.000000 1.725318 0 0.000000 
0 6818260.000000 1.823069 0 0.000000 
0 6822132.000000 1.754643 0 0.000000 
0 6826012.000000 1.617791 0 0.000000 
0 6829884.000000 1.632454 0 0.000000 
0 6833772.000000 1.769306 0 0.000000 
0 6837648.000000 1.867058 0 0.000000 
0 6841520.000000 1.827957 0 0.000000 
0 6845388.000000 1.661779 0 0.000000 
0 6849268.000000 1.642229 0 0.000000 
0 6853156.000000 1.754643 0 0.000000 
0 6857040.000000 1.862170 0 0.000000 
0 6860912.000000 1.847507 0 0.000000 
0 6864784.000000 1.710655 0 0.000000 
0 6868656.000000 1.652004 0 0.000000 
0 6872516.000000 1.774194 0 0.000000 
0 6876404.000000 1.911046 0 0.000000 
0 6880292.000000 1.925709 0 0.000000 
0 6884164.000000 1.779081 0 0.000000 
0 6888040.000000 1.691105 0 0.000000 
0 6891908.000000 1.774194 0 0.000000 
0 6895796.000000 1.886608 0 0.000000 
0 6899660.000000 1.911046 0 0.000000 
0 6903532.000000 1.764418 0 0.000000 
0 6907420.000000 1.642229 0 0.000000 
0 6911308.000000 1.695992 0 0.000000 
0 6915192.000000 1.803519 0 0.000000 
0 6919064.000000 1.837732 0 0.000000 
0 6922948.000000 1.705767 0 0.000000 
0 6926828.000000 1.549365 0 0.000000 
0 6930700.000000 1.573803 0 0.000000 
0 6934584.000000 1.686217 0 0.000000 
0 6938456.000000 1.749756 0 0.000000 
0 6942332.000000 1.652004 0 0.000000 
0 6946208.000000 1.495601 0 0.000000 
0 6950092.000000 1.505376 0 0.000000 
0 6953964.000000 1.632454 0 0.000000 
0 6957852.000000 1.720430 0 0.000000 
0 6961736.000000 1.671554 0 0.000000 
0 6965616.000000 1.510264 0 0.000000 
0 6969488.000000 1.495601 0 0.000000 
0 6973360.000000 1.612903 0 0.000000 
0 6977244.000000 1.720430 0 0.000000 
0 6981124.000000 1.695992 0 0.000000 
0 6985004.000000 1.544477 0 0.000000 
0 6988876.000000 1.500489 0 0.000000 
0 6992736.000000 1.608016 0 0.000000 
0 6996612.000000 1.715543 0 0.000000 
0 7000496.000000 1.715543 0 0.000000 
0 7004380.000000 1.583578 0 0.000000 
0 7008268.000000 1.578690 0 0.000000 
0 7012140.000000 1.783969 0 0.000000 
0 7016012.000000 2.091887 0 0.000000 
0 7019884.000000 2.399805 0 0.000000 
0 7023764.000000 2.600195 0 0.000000 
0 7027620.000000 2.834800 0 0.000000 
0 7031492.000000 3.176931 0 0.000000 
0 7035372.000000 3.362659 0 0.000000 
0 7039252.000000 3.206256 0 0.000000 
0 7043132.000000 2.727273 0 0.000000 
0 7047012.000000 2.155425 0 0.000000 
0 7050900.000000 1.759531 1 1.066667 
0 7054780.000000 1.510264 0 0.000000 
0 7058652.000000 1.348974 0 0.000000 
0 7062524.000000 1.153470 0 0.000000 
0 7066400.000000 1.006843 0 0.000000 
0 7070272.000000 1.060606 0 0.000000 
0 7074132.000000 1.241447 0 0.000000 
0 7078020.000000 1.427175 0 0.000000 
0 7081904.000000 1.456501 0 0.000000 
0 7085776.000000 1.373412 0 0.000000 
0 7089652.000000 1.402737 0 0.000000 
0 7093516.000000 1.554252 0 0.000000 
0 7097396.000000 1.676442 0 0.000000 
0 7101280.000000 1.671554 0 0.000000 
0 7105164.000000 1.539589 0 0.000000 
0 7109036.000000 1.524927 0 0.000000 
0 7112924.000000 1.666667 0 0.000000 
0 7115780.000000 1.808407 0 0.000000 
0 7120664.000000 1.827957 0 0.000000 
0 7124532.000000 1.691105 0 0.000000 
0 7128412.000000 1.632454 0 0.000000 
0 7132304.000000 1.744868 0 0.000000 
0 7136164.000000 1.891496 0 0.000000 
0 7140040.000000 1.915934 0 0.000000 
0 7143924.000000 1.798631 0 0.000000 
0 7147804.000000 1.691105 0 0.000000 
0 7151668.000000 1.788856 0 0.000000 
0 7155544.000000 1.920821 0 0.000000 
0 7159416.000000 1.989247 0 0.000000 
0 7163292.000000 1.881720 0 0.000000 
0 7167172.000000 1.769306 0 0.000000 
0 7171048.000000 1.842620 0 0.000000 
0 7174920.000000 1.984360 0 0.000000 
0 7178804.000000 2.072336 0 0.000000 
0 7182680.000000 1.979472 0 0.000000 
0 7186552.000000 1.847507 0 0.000000 
0 7190428.000000 1.891496 0 0.000000 
0 7194300.000000 2.043011 0 0.000000 
0 7198172.000000 2.145650 0 0.000000 
0 7202052.000000 2.091887 0 0.000000 
0 7205924.000000 1.950147 0 0.000000 
0 7209808.000000 1.959922 0 0.000000 
0 7213676.000000 2.101662 0 0.000000 
0 7217556.000000 2.214076 0 0.000000 
0 7221436.000000 2.184751 0 0.000000 
0 7225308.000000 2.028348 0 0.000000 
0 7229180.000000 2.008798 0 0.000000 
0 7233052.000000 2.130987 0 0.000000 
0 7236924.000000 2.253177 0 0.000000 
0 7240804.000000 2.253177 0 0.000000 
0 7244676.000000 2.101662 0 0.000000 
0 7248548.000000 2.052786 0 0.000000 
0 7252420.000000 2.155425 0 0.000000 
0 7256300.000000 2.287390 0 0.000000 
0 7260180.000000 2.292278 0 0.000000 
0 7264052.000000 2.130987 0 0.000000 
0 7267924.000000 2.023460 0 0.000000 
0 7271796.000000 2.106549 0 0.000000 
0 7275668.000000 2.228739 0 0.000000 
0 7279532.000000 2.262952 0 0.000000 
0 7283412.000000 2.126100 0 0.000000 
0 7287296.000000 1.969697 0 0.000000 
0 7291172.000000 2.003910 0 0.000000 
0 7295028.000000 2.106549 0 0.000000 
0 7298900.000000 2.145650 0 0.000000 
0 7302780.000000 2.008798 0 0.000000 
0 7306648.000000 1.827957 0 0.000000 
0 7310520.000000 1.827957 0 0.000000 
0 7314392.000000 1.906158 0 0.000000 
0 7318272.000000 1.955034 0 0.000000 
0 7322152.000000 1.847507 0 0.000000 
0 7326028.000000 1.676442 0 0.000000 
0 7329916.000000 1.637341 0 0.000000 
0 7333808.000000 1.739980 0 0.000000 
0 7337676.000000 1.818182 0 0.000000 
0 7341556.000000 1.764418 0 0.000000 
0 7345448.000000 1.593353 0 0.000000 
0 7349316.000000 1.573803 0 0.000000 
0 7353196.000000 1.666667 0 0.000000 
0 7357068.000000 1.788856 0 0.000000 
0 7360956.000000 1.769306 0 0.000000 
0 7364836.000000 1.612903 0 0.000000 
0 7368716.000000 1.554252 0 0.000000 
0 7372596.000000 1.676442 0 0.000000 
0 7376476.000000 1.803519 0 0.000000 
0 7380352.000000 1.847507 0 0.000000 
0 7384232.000000 1.700880 0 0.000000 
0 7388096.000000 1.622678 0 0.000000 
0 7391984.000000 1.725318 0 0.000000 
0 7395868.000000 1.876833 0 0.000000 
0 7399752.000000 1.925709 0 0.000000 
0 7403620.000000 1.808407 0 0.000000 
0 7407472.000000 1.700880 0 0.000000 
0 7411348.000000 1.769306 0 0.000000 
0 7415228.000000 1.901271 0 0.000000 
0 7419104.000000 1.974585 0 0.000000 
0 7422972.000000 1.876833 0 0.000000 
0 7426856.000000 1.725318 0 0.000000 
0 7430740.000000 1.764418 0 0.000000 
0 7434628.000000 1.896383 0 0.000000 
0 7438504.000000 1.984360 0 0.000000 
0 7442384.000000 1.906158 0 0.000000 
0 7446264.000000 1.744868 0 0.000000 
0 7450124.000000 1.759531 0 0.000000 
0 7454008.000000 1.906158 0 0.000000 
0 7457876.000000 2.008798 0 0.000000 
0 7461744.000000 1.974585 0 0.000000 
0 7465628.000000 1.823069 0 0.000000 
0 7469492.000000 1.798631 0 0.000000 
0 7473376.000000 1.925709 0 0.000000 
0 7477244.000000 2.043011 0 0.000000 
0 7481116.000000 2.043011 0 0.000000 
0 7484992.000000 1.867058 0 0.000000 
0 7488860.000000 1.803519 0 0.000000 
0 7492736.000000 1.906158 0 0.000000 
0 7496604.000000 2.023460 0 0.000000 
0 7500468.000000 2.047898 0 0.000000 
0 7504344.000000 1.871945 0 0.000000 
0 7508220.000000 1.774194 0 0.000000 
0 7512108.000000 1.847507 0 0.000000 
0 7515984.000000 1.984360 0 0.000000 
0 7519868.000000 2.003910 0 0.000000 
0 7523728.000000 1.867058 0 0.000000 
0 7527596.000000 1.739980 0 0.000000 
0 7531464.000000 1.808407 0 0.000000 
0 7535328.000000 1.945259 0 0.000000 
0 7539204.000000 2.023460 0 0.000000 
0 7543080.000000 1.920821 0 0.000000 
0 7546948.000000 1.779081 0 0.000000 
0 7550820.000000 1.818182 0 0.000000 
0 7554704.000000 1.955034 0 0.000000 
0 7558572.000000 2.028348 0 0.000000 
0 7562448.000000 1.940372 0 0.000000 
0 7566316.000000 1.774194 0 0.000000 
0 7570204.000000 1.774194 0 0.000000 
0 7574096.000000 1.886608 0 0.000000 
0 7577968.000000 1.974585 0 0.000000 
0 7581852.000000 1.911046 0 0.000000 
0 7585720.000000 1.749756 0 0.000000 
0 7589596.000000 1.705767 0 0.000000 
0 7593480.000000 1.818182 0 0.000000 
0 7597368.000000 1.925709 0 0.000000 
0 7601240.000000 1.920821 0 0.000000 
0 7605112.000000 1.749756 0 0.000000 
0 7608988.000000 1.691105 0 0.000000 
0 7612868.000000 1.803519 0 0.000000 
0 7616744.000000 1.925709 0 0.000000 
0 7620628.000000 1.940372 0 0.000000 
0 7624492.000000 1.788856 0 0.000000 
0 7628372.000000 1.695992 0 0.000000 
0 7632260.000000 1.783969 0 0.000000 
0 7636140.000000 1.911046 0 0.000000 
0 7640016.000000 1.950147 0 0.000000 
0 7643900.000000 1.823069 0 0.000000 
0 7647784.000000 1.715543 0 0.000000 
0 7651660.000000 1.803519 0 0.000000 
0 7655528.000000 1.950147 0 0.000000 
0 7659404.000000 2.023460 0 0.000000 
0 7663276.000000 1.911046 0 0.000000 
0 7667164.000000 1.774194 0 0.000000 
0 7671056.000000 1.818182 0 0.000000 
0 7674936.000000 1.950147 0 0.000000 
0 7678812.000000 2.028348 0 0.000000 
0 7682680.000000 1.935484 0 0.000000 
0 7686556.000000 1.759531 0 0.000000 
0 7690436.000000 1.759531 0 0.000000 
0 7694312.000000 1.867058 0 0.000000 
0 7698184.000000 1.955034 0 0.000000 
0 7702060.000000 1.876833 0 0.000000 
0 7705952.000000 1.700880 0 0.000000 
0 7709820.000000 1.676442 0 0.000000 
0 7713692.000000 1.793744 0 0.000000 
